Pair,SL,TP,Trailing,NumberOftrades,MaxDD,WinRate,P/D,Profit,PDP
XAUUSD,150,225,0.4,141,1165,67,1.88,2194,4131.88
XAUUSD,220,330,0.3,105,1166,70,1.39,1623,2259.12
XAUUSD,170,255,0.4,122,1167,66,1.4,1629,2273.9
XAUUSD,120,120,1,262,1205,57,2.82,3400,9593.36
XAUUSD,150,225,0.5,115,1214,65,2.17,2629,5693.28
XAUUSD,250,250,0.3,123,1255,73,1.46,1833,2677.2
XAUUSD,250,375,0.2,118,1255,70,0.66,827,544.96
XAUUSD,270,405,0.5,57,1260,53,1.04,1313,1368.23
XAUUSD,140,210,0.5,128,1280,62,1.69,2162,3651.75
XAUUSD,140,210,0.4,157,1300,66,1.62,2103,3402.01
XAUUSD,260,390,0.4,70,1300,66,1.24,1618,2013.79
XAUUSD,300,450,0.3,73,1308,63,0.98,1276,1244.78
XAUUSD,280,420,0.4,63,1437,56,0.42,598,248.85
XAUUSD,250,250,1,50,1691,60,1.25,2118,2652.82
XAUUSD,80,80,1,475,1851,55,0.82,1510,1231.82
